,Model,Score,Params,Dimensions,Dim. Technique,Dim. Params
12,SVC,0.025,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",50Dim,SLMVP,Radial-Gammas=0.01
22,SVC,0.025,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",150Dim,LOL,
33,SGD,0.025,"{'alpha': 0.0001, 'average': False, 'class_weight': None, 'early_stopping': False, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'hinge', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'l2', 'power_t': 0.5, 'random_state': 42, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",15Dim,KPCA,Radial
13,SVC,0.025,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",50Dim,SLMVP,Radial-Gammas=0.1
31,SGD,0.025,"{'alpha': 0.0001, 'average': False, 'class_weight': None, 'early_stopping': False, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'hinge', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'l2', 'power_t': 0.5, 'random_state': 42, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",15Dim,SLMVP,Radial-Gammas=0.1
30,SGD,0.025,"{'alpha': 0.0001, 'average': False, 'class_weight': None, 'early_stopping': False, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'hinge', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'l2', 'power_t': 0.5, 'random_state': 42, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",15Dim,SLMVP,Radial-Gammas=0.01
15,SVC,0.025,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",50Dim,KPCA,Radial
16,SVC,0.025,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",50Dim,LOL,
27,SGD,0.025,"{'alpha': 0.0001, 'average': False, 'class_weight': None, 'early_stopping': False, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'hinge', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'l2', 'power_t': 0.5, 'random_state': 42, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",5Dim,KPCA,Radial
18,SVC,0.025,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",150Dim,SLMVP,Radial-Gammas=0.01
1,SVC,0.025,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",5Dim,SLMVP,Radial-Gammas=0.1
19,SVC,0.025,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",150Dim,SLMVP,Radial-Gammas=0.1
0,SVC,0.025,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",5Dim,SLMVP,Radial-Gammas=0.01
26,SGD,0.0125,"{'alpha': 0.0001, 'average': False, 'class_weight': None, 'early_stopping': False, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'hinge', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'l2', 'power_t': 0.5, 'random_state': 42, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",5Dim,PCA,
